,vrp_standardised
2020-05-28,
2020-05-29,
2020-06-01,-0.7071067811865478
2020-06-02,-0.6695712120314953
2020-06-03,-0.7079296526919168
2020-06-04,-1.4560807302543786
2020-06-05,
2020-06-08,-1.4060943876021657
2020-06-09,-1.276510056526301
2020-06-10,-0.8594552717114166
2020-06-11,-1.4868004694775798
2020-06-12,
2020-06-15,-0.16154720134092346
2020-06-16,-0.040463709319074725
2020-06-17,0.8906424805120572
2020-06-18,1.213939695781256
2020-06-19,
2020-06-22,1.0122232082474834
2020-06-23,0.7470463345563471
2020-06-24,0.10973891537369947
2020-06-25,1.4370298273343811
2020-06-26,
2020-06-29,-1.4568905187591914
2020-06-30,-0.41092836875068367
2020-07-01,0.3440317811728018
2020-07-02,
2020-07-06,0.5965703480120506
2020-07-07,1.2784362776019285
2020-07-08,0.7526037257737371
2020-07-09,1.3402190576328883
2020-07-10,
2020-07-13,1.3316378915847442
2020-07-14,0.8887421182904656
2020-07-15,0.4741231169238022
2020-07-16,-1.4286274198707516
2020-07-17,
2020-07-20,-1.3646690866884847
2020-07-21,-0.8374937810544668
2020-07-22,-0.3126224185847239
2020-07-23,-1.4993499618963675
2020-07-24,
2020-07-27,0.19293413520789446
2020-07-28,0.5262911327072543
2020-07-29,0.9725720155991939
2020-07-30,1.3676380191644237
2020-07-31,
2020-08-03,-1.4815640661252159
2020-08-04,-0.6584459060878521
2020-08-05,-0.11258228176130157
2020-08-06,1.0038796060296644
2020-08-07,
2020-08-10,1.1306016636071445
2020-08-11,0.7419853732473115
2020-08-12,0.16599852987805316
2020-08-13,1.3620539871138857
2020-08-14,
2020-08-17,1.4077448680039302
2020-08-18,0.9869783893666069
2020-08-19,0.9275860467337791
2020-08-20,0.9934465893567241
2020-08-21,
2020-08-24,-0.1706495515320444
2020-08-25,-0.5378020039533558
2020-08-26,1.2536872584498497
2020-08-27,0.7374573966026963
2020-08-28,
2020-08-31,-1.4999996020489983
2020-09-01,-0.6539850779452554
2020-09-02,-0.06982430019021205
2020-09-03,1.0264144512976199
2020-09-04,
2020-09-08,1.2127702887733602
2020-09-09,1.0189196266454068
2020-09-10,0.9174188034124229
2020-09-11,
2020-09-14,1.2505201422570507
2020-09-15,1.0643957684221215
2020-09-16,0.9998028696129426
2020-09-17,1.2398871871433654
2020-09-18,
2020-09-21,0.8958995201510891
2020-09-22,0.6841676613002148
2020-09-23,0.22138147085309884
2020-09-24,0.9369041217061829
2020-09-25,
2020-09-28,0.524184993892128
2020-09-29,0.9361058542014554
2020-09-30,1.254669077807531
2020-10-01,0.9746600986853197
2020-10-02,
2020-10-05,-0.8767125231914659
2020-10-06,-0.9617040190597588
2020-10-07,-0.2276899340343851
2020-10-08,1.3919558453738738
2020-10-09,
2020-10-12,-1.3937798172944544
2020-10-13,-0.8917538846719907
2020-10-14,0.1305609359237665
2020-10-15,1.2776799062010071
2020-10-16,
2020-10-19,0.8859057060756383
2020-10-20,1.067021813837351
2020-10-21,1.1816286564793448
2020-10-22,0.7344515493560201
2020-10-23,
2020-10-26,1.4809077222357845
2020-10-27,0.920757375586424
2020-10-28,-0.5197986463582486
2020-10-29,-0.24148708244963962
2020-10-30,
2020-11-02,-1.4426867599902424
2020-11-03,-0.4797188471059015
2020-11-04,-0.6130780611346885
2020-11-05,-0.4674212785298373
2020-11-06,
2020-11-09,0.9983679443946816
2020-11-10,1.2042618617546765
2020-11-11,0.4458122863338866
2020-11-12,0.8512229277050983
2020-11-13,
2020-11-16,1.3047163165593547
2020-11-17,0.9024028251932887
2020-11-18,0.6706378171608512
2020-11-19,1.4387496780035356
2020-11-20,
2020-11-23,-1.4392747318092738
2020-11-24,-0.7339764201138995
2020-11-25,-0.2667996293216232
2020-11-27,
2020-11-30,1.4553314509253616
2020-12-01,0.17769083507895408
2020-12-02,0.4532264324730695
2020-12-03,0.058392570797326564
2020-12-04,
2020-12-07,1.3026155777942605
2020-12-08,0.9165444874287726
2020-12-09,-0.06775720265769847
2020-12-10,1.421477071144714
2020-12-11,
2020-12-14,-0.36261858233268046
2020-12-15,-1.4712690605581022
2020-12-16,-0.5783697321146711
2020-12-17,0.18996924050090291
2020-12-18,
2020-12-21,1.2067576811472234
2020-12-22,0.06087464543122941
2020-12-23,-0.691567302429773
2020-12-24,
2020-12-28,-0.4822454349395198
2020-12-29,0.8920941629522144
2020-12-30,1.0896734030840847
2020-12-31,
2021-01-04,1.4452284440277956
2021-01-05,1.1936982508293188
2021-01-06,-1.1929875023235583
2021-01-07,-1.1917522411989383
2021-01-08,
2021-01-11,-0.26092732362517584
2021-01-12,1.2524662996441625
2021-01-13,0.8201115274122361
2021-01-14,0.7337899726195534
2021-01-15,
2021-01-19,1.3467268414154703
2021-01-20,-1.3199089875910492
2021-01-21,-1.2985229869256831
2021-01-22,
2021-01-25,1.368056426950327
2021-01-26,1.1750363010243463
2021-01-27,1.0887786052240906
2021-01-28,-1.1918043459154442
2021-01-29,
2021-02-01,-1.047543083179235
2021-02-02,-0.5295230606181671
2021-02-03,0.1711719797757608
2021-02-04,0.892045237020793
2021-02-05,
2021-02-08,1.3534768338115453
2021-02-09,1.1569774562129114
2021-02-10,0.8977818378513489
2021-02-11,1.1129968114864535
2021-02-12,
2021-02-16,0.1788200526044923
2021-02-17,-1.336454921967162
2021-02-18,1.2659839888217905
2021-02-19,
2021-02-22,-1.10348388386289
2021-02-23,1.213468378793443
2021-02-24,0.07715671258213139
2021-02-25,-0.5170639974491394
2021-02-26,
2021-03-01,-1.4400956210825318
2021-03-02,-0.7400373534677565
2021-03-03,-0.05053307106192446
2021-03-04,1.313823853268647
2021-03-05,
2021-03-08,-0.2334339726850246
2021-03-09,-1.2797768774435943
2021-03-10,0.06892752038045086
2021-03-11,0.8752013325740046
2021-03-12,
2021-03-15,1.1100059663919761
2021-03-16,1.0008315479624206
2021-03-17,1.0049538455837606
2021-03-18,-0.6204784855096634
2021-03-19,
2021-03-22,-1.200180811846281
2021-03-23,-0.10895423417236258
2021-03-24,0.6241254976659715
2021-03-25,1.359336096369721
2021-03-26,
2021-03-29,1.0526947910114746
2021-03-30,0.5642302853404264
2021-03-31,0.12492384827801595
2021-04-01,
2021-04-05,-1.4721179817335601
2021-04-06,-0.7958125096391202
2021-04-07,0.8716577590711406
2021-04-08,-0.4519710019167308
2021-04-09,
2021-04-12,-0.07823200476982116
2021-04-13,-1.2203175504193158
2021-04-14,-1.0203533349612968
2021-04-15,-1.1912364342168642
2021-04-16,
2021-04-19,1.4302805459483
2021-04-20,0.7246705447838157
2021-04-21,0.39834591842216915
2021-04-22,1.296573707967941
2021-04-23,
2021-04-26,1.4792523710709193
2021-04-27,1.0501235963287665
2021-04-28,1.0832075924139255
2021-04-29,-1.3050975021787674
2021-04-30,
2021-05-03,-0.981160364285803
2021-05-04,-1.0036695291254758
2021-05-05,-0.5865465236561208
2021-05-06,0.5979986239323822
2021-05-07,
2021-05-10,-0.22760719746447397
2021-05-11,1.0781028840257134
2021-05-12,0.2168339711098357
2021-05-13,-0.21437847888700087
2021-05-14,
2021-05-17,-0.9394489291223915
2021-05-18,0.047618884353141745
2021-05-19,1.4793989633376168
2021-05-20,-0.07847717119458318
2021-05-21,
2021-05-24,-0.7107724894789288
2021-05-25,-0.031108217055859862
2021-05-26,0.9549104513116152
2021-05-27,0.9981124414765843
2021-05-28,
2021-06-01,1.231368185528012
2021-06-02,1.0124040982044231
2021-06-03,1.2349708247444082
2021-06-04,
2021-06-07,-0.5051395085302788
2021-06-08,-0.28621545142954086
2021-06-09,0.4863848453997305
2021-06-10,-0.48063413991523823
2021-06-11,
2021-06-14,-1.4650682861734403
2021-06-15,-0.5975585031491867
2021-06-16,1.2419483985753532
2021-06-17,1.1088624026732499
2021-06-18,
2021-06-21,-0.27282018734018115
2021-06-22,-1.1025049641150138
2021-06-23,-0.40969287399978316
2021-06-24,0.5676827261525698
2021-06-25,
