date,mktrf,smb,hml,rf
2000-01-01,-0.0474,0.0577,-0.0188,0.0041
2000-02-01,0.0245,0.2136,-0.0959,0.0043
2000-03-01,0.052,-0.172,0.0813,0.0047
2000-04-01,-0.064,-0.0668,0.0726,0.0046
2000-05-01,-0.0442,-0.0605,0.0475,0.005
2000-06-01,0.0464,0.1284,-0.0842,0.004
2000-07-01,-0.0251,-0.0307,0.0831,0.0048
2000-08-01,0.0703,-0.0061,-0.0139,0.005
2000-09-01,-0.0545,-0.0182,0.0717,0.0051
2000-10-01,-0.0276,-0.0388,0.0571,0.0056
2000-11-01,-0.1072,-0.0341,0.123,0.0051
2000-12-01,0.0119,0.0073,0.0761,0.005
2001-01-01,0.0313,0.0668,-0.0507,0.0054
2001-02-01,-0.1005,-0.0078,0.1247,0.0038
2001-03-01,-0.0726,0.0025,0.0642,0.0042
2001-04-01,0.0794,0.0055,-0.0467,0.0039
2001-05-01,0.0072,0.025,0.0336,0.0032
2001-06-01,-0.0194,0.0624,-0.0112,0.0028
2001-07-01,-0.0213,-0.0419,0.0521,0.003
2001-08-01,-0.0646,0.0248,0.0231,0.0031
2001-09-01,-0.0925,-0.0623,0.0145,0.0028
2001-10-01,0.0246,0.0748,-0.0765,0.0022
2001-11-01,0.0754,-0.0047,0.0221,0.0017
2001-12-01,0.016,0.0474,0.0084,0.0015
2002-01-01,-0.0144,0.0119,0.0344,0.0014
2002-02-01,-0.0229,-0.0101,0.0216,0.0013
2002-03-01,0.0424,0.0421,0.0106,0.0013
2002-04-01,-0.052,0.0596,0.0388,0.0015
2002-05-01,-0.0138,-0.0321,0.0153,0.0014
2002-06-01,-0.0721,0.0429,-0.0005,0.0013
2002-07-01,-0.0818,-0.0528,-0.0385,0.0015
2002-08-01,0.005,-0.0286,0.0328,0.0014
2002-09-01,-0.1035,0.0241,0.0145,0.0014
2002-10-01,0.0784,-0.0342,-0.0394,0.0014
2002-11-01,0.0596,0.0319,-0.0126,0.0012
2002-12-01,-0.0576,0.0008,0.0214,0.0011
2003-01-01,-0.0257,0.0132,-0.0081,0.001
2003-02-01,-0.0188,-0.0046,-0.0137,0.0009
2003-03-01,0.0109,0.0102,-0.0194,0.001
2003-04-01,0.0822,0.0062,0.0115,0.001
2003-05-01,0.0605,0.0467,0.0039,0.0009
2003-06-01,0.0142,0.0174,0.0011,0.001
2003-07-01,0.0235,0.0506,-0.0124,0.0007
2003-08-01,0.0234,0.0259,0.0153,0.0007
2003-09-01,-0.0124,0.0079,0.0017,0.0008
2003-10-01,0.0608,0.0269,0.0197,0.0007
2003-11-01,0.0135,0.0208,0.0178,0.0007
2003-12-01,0.0429,-0.0267,0.016,0.0008
2004-01-01,0.0215,0.0255,0.0249,0.0007
2004-02-01,0.014,-0.0157,0.0088,0.0006
2004-03-01,-0.0132,0.0172,0.0027,0.0009
2004-04-01,-0.0183,-0.017,-0.0307,0.0008
2004-05-01,0.0117,-0.002,-0.0025,0.0006
2004-06-01,0.0186,0.0226,0.0118,0.0008
2004-07-01,-0.0406,-0.0382,0.0324,0.001
2004-08-01,0.0008,-0.0148,0.0097,0.0011
2004-09-01,0.016,0.0301,0.0,0.0011
2004-10-01,0.0143,0.0015,-0.0022,0.0011
2004-11-01,0.0454,0.0374,0.0141,0.0015
2004-12-01,0.0343,-0.0003,-0.0022,0.0016
2005-01-01,-0.0276,-0.0172,0.0206,0.0016
2005-02-01,0.0189,-0.0057,0.0154,0.0016
2005-03-01,-0.0197,-0.014,0.0204,0.0021
2005-04-01,-0.0261,-0.0394,0.0007,0.0021
2005-05-01,0.0365,0.0288,-0.0064,0.0024
2005-06-01,0.0057,0.0258,0.0283,0.0023
2005-07-01,0.0392,0.0291,-0.0079,0.0024
2005-08-01,-0.0122,-0.0097,0.0132,0.003
2005-09-01,0.0049,-0.0065,0.0071,0.0029
2005-10-01,-0.0202,-0.0125,0.0042,0.0027
2005-11-01,0.0361,0.01,-0.0116,0.0031
2005-12-01,-0.0025,-0.0042,0.002,0.0032
2006-01-01,0.0304,0.054,0.0108,0.0035
2006-02-01,-0.003,-0.0038,-0.0034,0.0034
2006-03-01,0.0146,0.0344,0.006,0.0037
2006-04-01,0.0073,-0.0142,0.0234,0.0036
2006-05-01,-0.0357,-0.0296,0.0241,0.0043
2006-06-01,-0.0035,-0.0039,0.0085,0.004
2006-07-01,-0.0078,-0.0398,0.026,0.004
2006-08-01,0.0203,0.0103,-0.0206,0.0042
2006-09-01,0.0184,-0.0136,0.0008,0.0041
2006-10-01,0.0323,0.0175,-0.0031,0.0041
2006-11-01,0.0171,0.007,0.0014,0.0042
2006-12-01,0.0087,-0.0115,0.0273,0.004
2007-01-01,0.014,0.0012,-0.0068,0.0044
2007-02-01,-0.0196,0.0119,-0.0014,0.0038
2007-03-01,0.0068,0.0016,-0.0097,0.0043
2007-04-01,0.0349,-0.0216,-0.0145,0.0044
2007-05-01,0.0324,0.0024,-0.0065,0.0041
2007-06-01,-0.0196,0.0075,-0.0105,0.004
2007-07-01,-0.0373,-0.0261,-0.0371,0.004
2007-08-01,0.0092,-0.0013,-0.0186,0.0042
2007-09-01,0.0322,-0.0223,-0.0221,0.0032
2007-10-01,0.018,0.0008,-0.0298,0.0032
2007-11-01,-0.0483,-0.0293,-0.0094,0.0034
2007-12-01,-0.0087,0.0013,-0.0055,0.0027
2008-01-01,-0.0636,-0.0103,0.0397,0.0021
2008-02-01,-0.0309,-0.0043,-0.0084,0.0013
2008-03-01,-0.0093,0.0071,0.003,0.0017
2008-04-01,0.046,-0.0172,-0.0094,0.0018
2008-05-01,0.0186,0.0296,-0.0143,0.0018
2008-06-01,-0.0844,0.0123,-0.0271,0.0017
2008-07-01,-0.0077,0.026,0.0542,0.0015
2008-08-01,0.0153,0.036,0.0159,0.0013
2008-09-01,-0.0924,-0.0123,0.0591,0.0015
2008-10-01,-0.1723,-0.026,-0.023,0.0008
2008-11-01,-0.0786,-0.0285,-0.0631,0.0003
2008-12-01,0.0174,0.0346,0.0014,0.0
2009-01-01,-0.0812,0.0007,-0.1129,0.0
2009-02-01,-0.101,0.0005,-0.0695,0.0001
2009-03-01,0.0895,0.0003,0.0347,0.0002
2009-04-01,0.1018,0.0539,0.0536,0.0001
2009-05-01,0.0521,-0.0252,0.0028,0.0
2009-06-01,0.0043,0.0263,-0.0273,0.0001
2009-07-01,0.0772,0.0187,0.0483,0.0001
2009-08-01,0.0333,-0.0108,0.0763,0.0001
2009-09-01,0.0408,0.0243,0.0104,0.0001
2009-10-01,-0.0259,-0.0435,-0.0421,0.0
2009-11-01,0.0556,-0.024,-0.0034,0.0
2009-12-01,0.0275,0.0605,-0.0016,0.0001
2010-01-01,-0.0336,0.004,0.0043,0.0
2010-02-01,0.034,0.0119,0.0322,0.0
2010-03-01,0.0631,0.0148,0.0221,0.0001
2010-04-01,0.02,0.0487,0.0289,0.0001
2010-05-01,-0.0789,0.0009,-0.0244,0.0001
2010-06-01,-0.0557,-0.0181,-0.047,0.0001
2010-07-01,0.0693,0.002,-0.0031,0.0001
2010-08-01,-0.0477,-0.03,-0.019,0.0001
2010-09-01,0.0954,0.0396,-0.0316,0.0001
2010-10-01,0.0388,0.0113,-0.0242,0.0001
2010-11-01,0.006,0.0376,-0.0096,0.0001
2010-12-01,0.0682,0.0073,0.0369,0.0001
2011-01-01,0.0199,-0.025,0.0082,0.0001
2011-02-01,0.0349,0.0153,0.0127,0.0001
2011-03-01,0.0046,0.0254,-0.0183,0.0001
2011-04-01,0.029,-0.0038,-0.0243,0.0
2011-05-01,-0.0127,-0.0059,-0.0212,0.0
2011-06-01,-0.0175,-0.0012,-0.0042,0.0
2011-07-01,-0.0235,-0.0127,-0.0089,0.0
2011-08-01,-0.0599,-0.0305,-0.0236,0.0001
2011-09-01,-0.0759,-0.0331,-0.0173,0.0
2011-10-01,0.1135,0.0328,0.0011,0.0
2011-11-01,-0.0028,-0.0016,-0.0045,0.0
2011-12-01,0.0074,-0.0059,0.0163,0.0
2012-01-01,0.0505,0.0204,-0.0097,0.0
2012-02-01,0.0442,-0.0185,0.0043,0.0
2012-03-01,0.0311,-0.0064,0.0114,0.0
2012-04-01,-0.0085,-0.0042,-0.0078,0.0
2012-05-01,-0.0619,0.0007,-0.0107,0.0001
2012-06-01,0.0389,0.0067,0.0062,0.0
2012-07-01,0.0079,-0.0275,-0.0002,0.0
2012-08-01,0.0255,0.0047,0.013,0.0001
2012-09-01,0.0273,0.0051,0.016,0.0001
2012-10-01,-0.0176,-0.0115,0.0359,0.0001
2012-11-01,0.0078,0.0063,-0.0084,0.0001
2012-12-01,0.0118,0.0148,0.0351,0.0001
2013-01-01,0.0557,0.0034,0.0096,0.0
2013-02-01,0.0129,-0.0027,0.0011,0.0
2013-03-01,0.0403,0.0081,-0.0019,0.0
2013-04-01,0.0155,-0.0237,0.0045,0.0
2013-05-01,0.028,0.0171,0.0263,0.0
2013-06-01,-0.012,0.0133,0.0003,0.0
2013-07-01,0.0565,0.0187,0.0057,0.0
2013-08-01,-0.0271,0.0027,-0.0269,0.0
2013-09-01,0.0377,0.0287,-0.0122,0.0
2013-10-01,0.0418,-0.0152,0.0125,0.0
2013-11-01,0.0313,0.0129,0.0032,0.0
2013-12-01,0.0281,-0.0047,-0.0002,0.0
2014-01-01,-0.0332,0.0089,-0.0207,0.0
2014-02-01,0.0465,0.0034,-0.0031,0.0
