date,exdate,cp_flag,strike_price,best_bid,best_offer,volume,impl_volatility,optionid,forward_price,index_flag,issuer,exercise_style
2021-04-12,2021-04-16,C,10000,8.4,12.2,0,4.172379,139503488,,0,VAXCYTE INC,A
2021-04-12,2021-04-16,C,12500,5.9,9.7,0,3.010753,139503489,,0,VAXCYTE INC,A
2021-04-12,2021-04-16,C,15000,3.5,7.2,0,2.206314,139203779,,0,VAXCYTE INC,A
2021-04-12,2021-04-16,C,17500,1.1,4.7,0,1.390725,139203780,,0,VAXCYTE INC,A
2021-04-12,2021-04-16,C,20000,0,2.6,1,1.454046,139203781,,0,VAXCYTE INC,A
2021-04-12,2021-04-16,C,22500,0,1.4,0,1.807369,139203782,,0,VAXCYTE INC,A
2021-04-12,2021-04-16,C,25000,0,1.7,0,2.75503,139203783,,0,VAXCYTE INC,A
2021-04-12,2021-04-16,C,30000,0,1,0,3.257927,139203784,,0,VAXCYTE INC,A
2021-04-12,2021-04-16,C,35000,0,1.7,0,4.7124,139203785,,0,VAXCYTE INC,A
2021-04-12,2021-04-16,C,5000,13.5,17.2,0,8.327013,139503490,,0,VAXCYTE INC,A
2021-04-12,2021-04-16,C,7500,10.9,14.7,0,5.666894,139503491,,0,VAXCYTE INC,A
2021-04-12,2021-04-16,P,10000,0,1.7,0,6.850289,139503492,,0,VAXCYTE INC,A
2021-04-12,2021-04-16,P,12500,0,1.7,0,5.122997,139503493,,0,VAXCYTE INC,A
2021-04-12,2021-04-16,P,15000,0,1.7,0,3.692396,139203786,,0,VAXCYTE INC,A
2021-04-12,2021-04-16,P,17500,0,0.4,0,1.306552,139203787,,0,VAXCYTE INC,A
2021-04-12,2021-04-16,P,20000,0.05,2.4,0,1.556045,139203788,,0,VAXCYTE INC,A
2021-04-12,2021-04-16,P,22500,0.95,4.3,0,1.206269,139203789,,0,VAXCYTE INC,A
2021-04-12,2021-04-16,P,25000,3.2,6.7,0,1.420858,139203790,,0,VAXCYTE INC,A
2021-04-12,2021-04-16,P,30000,8.1,11.6,0,1.566404,139203791,,0,VAXCYTE INC,A
2021-04-12,2021-04-16,P,35000,13.1,16.6,0,2.075548,139203792,,0,VAXCYTE INC,A
2021-04-12,2021-04-16,P,5000,0,1.7,0,,139503494,,0,VAXCYTE INC,A
2021-04-12,2021-04-16,P,7500,0,1.7,0,,139503495,,0,VAXCYTE INC,A
2021-04-13,2021-04-16,C,10000,7.5,11.3,0,4.655791,139503488,,0,VAXCYTE INC,A
2021-04-13,2021-04-16,C,12500,4,8.8,0,,139503489,,0,VAXCYTE INC,A
2021-04-13,2021-04-16,C,15000,2.15,6.3,0,,139203779,,0,VAXCYTE INC,A
2021-04-13,2021-04-16,C,17500,0.25,3.8,0,1.339535,139203780,,0,VAXCYTE INC,A
2021-04-13,2021-04-16,C,20000,0,2.05,0,1.929036,139203781,,0,VAXCYTE INC,A
2021-04-13,2021-04-16,C,22500,0,1.4,0,2.525476,139203782,,0,VAXCYTE INC,A
2021-04-13,2021-04-16,C,25000,0,1.7,0,3.594984,139203783,,0,VAXCYTE INC,A
2021-04-13,2021-04-16,C,30000,0,1,0,4.095459,139203784,,0,VAXCYTE INC,A
2021-04-13,2021-04-16,C,35000,0,1.7,0,5.799016,139203785,,0,VAXCYTE INC,A
2021-04-13,2021-04-16,C,5000,12.4,16.3,0,8.268886,139503490,,0,VAXCYTE INC,A
2021-04-13,2021-04-16,C,7500,10,13.8,0,6.415534,139503491,,0,VAXCYTE INC,A
2021-04-13,2021-04-16,P,10000,0,1.7,0,7.624278,139503492,,0,VAXCYTE INC,A
2021-04-13,2021-04-16,P,12500,0,1.7,0,5.603112,139503493,,0,VAXCYTE INC,A
2021-04-13,2021-04-16,P,15000,0,1.7,0,3.915117,139203786,,0,VAXCYTE INC,A
2021-04-13,2021-04-16,P,17500,0,0.4,0,1.179328,139203787,,0,VAXCYTE INC,A
2021-04-13,2021-04-16,P,20000,0.05,2.75,0,1.381389,139203788,,0,VAXCYTE INC,A
2021-04-13,2021-04-16,P,22500,1,5.1,0,,139203789,,0,VAXCYTE INC,A
2021-04-13,2021-04-16,P,25000,4.1,7.5,0,1.631098,139203790,,0,VAXCYTE INC,A
2021-04-13,2021-04-16,P,30000,9.1,12.5,0,2.48931,139203791,,0,VAXCYTE INC,A
2021-04-13,2021-04-16,P,35000,14,17.5,0,1.668151,139203792,,0,VAXCYTE INC,A
2021-04-13,2021-04-16,P,5000,0,1.7,0,,139503494,,0,VAXCYTE INC,A
2021-04-13,2021-04-16,P,7500,0,1.7,0,,139503495,,0,VAXCYTE INC,A
2021-04-14,2021-04-16,C,10000,8.1,11.8,0,4.803952,139503488,,0,VAXCYTE INC,A
2021-04-14,2021-04-16,C,12500,5.6,9.3,0,3.400349,139503489,,0,VAXCYTE INC,A
2021-04-14,2021-04-16,C,15000,2.5,6.8,0,,139203779,,0,VAXCYTE INC,A
2021-04-14,2021-04-16,C,17500,0.65,4.3,0,1.296529,139203780,,0,VAXCYTE INC,A
2021-04-14,2021-04-16,C,20000,0,2.15,0,1.909754,139203781,,0,VAXCYTE INC,A
2021-04-14,2021-04-16,C,22500,0,1.4,0,2.709821,139203782,,0,VAXCYTE INC,A
2021-04-14,2021-04-16,C,25000,0,0.6,0,2.755957,139203783,,0,VAXCYTE INC,A
2021-04-14,2021-04-16,C,30000,0,1,0,4.722541,139203784,,0,VAXCYTE INC,A
2021-04-14,2021-04-16,C,35000,0,1.7,0,6.787526,139203785,,0,VAXCYTE INC,A
2021-04-14,2021-04-16,C,5000,13.1,16.8,0,,139503490,,0,VAXCYTE INC,A
